Category Slug,Category Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"grenade-launchers","70","Hullabaloo","","Compressed Wave Frame","0.46%","∞%"
"grenade-launchers","71","Liturgy","","Double Fire","0.46%","∞%"
"grenade-launchers","72","Wilderflight","","Double Fire","0.44%","∞%"
"grenade-launchers","73","Prodigal Return","","Lightweight Frame","0.44%","∞%"
"grenade-launchers","74","Acosmic","","Rapid-Fire Frame","0.42%","∞%"
"grenade-launchers","75","Wilderflight (Adept)","","Double Fire","0.41%","∞%"
"grenade-launchers","76","Acosmic","","Rapid-Fire Frame","0.39%","∞%"
"grenade-launchers","77","Gizmo Weft","","Micro-Missile Frame","0.35%","∞%"
"grenade-launchers","78","New Pacific Epitaph","","Wave Frame","0.33%","∞%"
"grenade-launchers","79","New Pacific Epitaph","","Wave Frame","0.32%","∞%"
"grenade-launchers","80","Undercurrent (Adept)","","Wave Frame","0.32%","∞%"
"grenade-launchers","81","Blast Battue","","Adaptive Frame","0.31%","∞%"
"grenade-launchers","82","Canis Major","","Rapid-Fire Frame","0.31%","∞%"
"grenade-launchers","83","Outrageous Fortune","","Rapid-Fire Frame","0.27%","∞%"
"grenade-launchers","84","Forbearance","","Wave Frame","0.26%","∞%"
"grenade-launchers","85","Acosmic","","Rapid-Fire Frame","0.26%","∞%"
"grenade-launchers","86","Ignition Code","","Lightweight Frame","0.26%","∞%"
"grenade-launchers","87","Wild Style","","Double Fire","0.25%","∞%"
"grenade-launchers","88","Forbearance (Adept)","","Wave Frame","0.25%","∞%"
"grenade-launchers","89","Koraxis's Distress (Adept)","","Rapid-Fire Frame","0.24%","∞%"
"grenade-launchers","90","Crowd Pleaser","","Adaptive Frame","0.23%","∞%"
"grenade-launchers","91","Psychopomp (Adept)","","Area Denial Frame","0.22%","∞%"
"grenade-launchers","92","Swarm of the Raven","","Rapid-Fire Frame","0.22%","∞%"
"grenade-launchers","93","Berenger's Memory","","Rapid-Fire Frame","0.20%","∞%"
"grenade-launchers","94","New Pacific Epitaph","","Wave Frame","0.20%","∞%"
"grenade-launchers","95","New Pacific Epitaph (Adept)","","Wave Frame","0.20%","∞%"
"grenade-launchers","96","Wendigo GL3 (Adept)","","Adaptive Frame","0.18%","∞%"
"grenade-launchers","97","Romantic Death","","Wave Frame","0.16%","∞%"
"grenade-launchers","98","Orewing's Maul","","Lightweight Frame","0.16%","∞%"
"grenade-launchers","99","Undercurrent (Adept)","","Wave Frame","0.16%","∞%"
"grenade-launchers","100","The Ever-Present","","Rapid-Fire Frame","0.16%","∞%"
"hand-cannons","1","Service Revolver","","Precision Frame","3.90%","∞%"
"hand-cannons","2","Uncivil Discourse","","Dynamic Heat Weapon","3.41%","∞%"
"hand-cannons","3","Kindled Orchid","","Adaptive Frame","2.54%","∞%"
"hand-cannons","4","Crimil's Dagger","","Aggressive Frame","2.49%","∞%"
"hand-cannons","5","Better Devils","","Adaptive Frame","2.44%","∞%"
"hand-cannons","6","The Palindrome","","Adaptive Frame","2.30%","∞%"
"hand-cannons","7","Spare Rations","","Lightweight Frame","2.18%","∞%"
"hand-cannons","8","Modified B-7 Pistol","","Dynamic Heat Weapon","2.15%","∞%"
"hand-cannons","9","Eyasluna","","Adaptive Frame","2.08%","∞%"
"hand-cannons","10","Survivor's Epitaph","","Precision Frame","2.02%","∞%"
"hand-cannons","11","Hawkmoon","","Paracausal Shot","1.91%","∞%"
"hand-cannons","12","IRONWOOD 03","","Spread Shot","1.88%","∞%"
"hand-cannons","13","D.F.A.","","Adaptive Frame","1.78%","∞%"
"hand-cannons","14","Sarpedon-D","","Spread Shot","1.72%","∞%"
"hand-cannons","15","Phoneutria Fera","","Spread Shot","1.59%","∞%"
"hand-cannons","16","Triple Laureate","","Spread Shot","1.59%","∞%"
"hand-cannons","17","Corundum Hammer","","Adaptive Frame","1.54%","∞%"
"hand-cannons","18","Igneous Hammer","","Aggressive Frame","1.44%","∞%"
"hand-cannons","19","Trust","","Precision Frame","1.35%","∞%"
"hand-cannons","20","Zaouli's Bane","","Adaptive Frame","1.30%","∞%"
"hand-cannons","21","Seventh Seraph Officer Revolver","","Precision Frame","1.28%","∞%"
"hand-cannons","22","Mos Athanor IV","","Aggressive Frame","1.27%","∞%"
"hand-cannons","23","Agape","","Heavy Burst","1.23%","∞%"
"hand-cannons","24","Rose","","Lightweight Frame","1.17%","∞%"
"hand-cannons","25","Solemn Remembrance","","Precision Frame","1.13%","∞%"
"hand-cannons","26","Vulpecula","","Precision Frame","1.00%","∞%"
"hand-cannons","27","Rose","","Lightweight Frame","1.00%","∞%"
"hand-cannons","28","Uncivil Discourse","","Dynamic Heat Weapon","0.95%","∞%"
"hand-cannons","29","Aureus Neutralizer","","Spread Shot","0.93%","∞%"
"hand-cannons","30","Midnight Coup","","Adaptive Frame","0.92%","∞%"
"hand-cannons","31","Luna's Howl","","Precision Frame","0.92%","∞%"
"hand-cannons","32","Fatebringer","","Adaptive Frame","0.89%","∞%"
"hand-cannons","33","Zaouli's Bane","","Adaptive Frame","0.84%","∞%"
"hand-cannons","34","Epochal Integration","","Adaptive Frame","0.84%","∞%"
"hand-cannons","35","Austringer","","Adaptive Frame","0.84%","∞%"
"hand-cannons","36","Exalted Truth","","Adaptive Frame","0.81%","∞%"
"hand-cannons","37","Mos Athanor IV","","Aggressive Frame","0.80%","∞%"
"hand-cannons","38","Finite Impactor","","Adaptive Frame","0.77%","∞%"
"hand-cannons","39","Unloved","","Heavy Burst","0.76%","∞%"
"hand-cannons","40","Midnight Coup","","Adaptive Frame","0.75%","∞%"
"hand-cannons","41","Nation of Beasts","","Adaptive Frame","0.75%","∞%"
"hand-cannons","42","Crimil's Dagger","","Aggressive Frame","0.74%","∞%"
"hand-cannons","43","Modified B-7 Pistol","","Dynamic Heat Weapon","0.73%","∞%"
"hand-cannons","44","Something New","","Aggressive Frame","0.73%","∞%"
"hand-cannons","45","Eyasluna","","Adaptive Frame","0.72%","∞%"
"hand-cannons","46","Bold Endings","","Heavy Burst","0.72%","∞%"
"hand-cannons","47","Judgment","","Adaptive Frame","0.71%","∞%"
"hand-cannons","48","Word of Crota","","Precision Frame","0.71%","∞%"
"hand-cannons","49","Fatebringer (Timelost)","","Adaptive Frame","0.69%","∞%"
"hand-cannons","50","Luna's Howl","","Precision Frame","0.69%","∞%"
"hand-cannons","51","Fatebringer (Timelost)","","Adaptive Frame","0.67%","∞%"
"hand-cannons","52","The Palindrome (Adept)","","Adaptive Frame","0.66%","∞%"
"hand-cannons","53","Sightline Survey","","Precision Frame","0.64%","∞%"
"hand-cannons","54","Kindled Orchid","","Adaptive Frame","0.63%","∞%"
"hand-cannons","55","Graviton Spike","","Temporal Manipulation","0.63%","∞%"
"hand-cannons","56","Solemn Lie","","Lightweight Frame","0.61%","∞%"
"hand-cannons","57","Malediction","","Aggressive Frame","0.60%","∞%"
"hand-cannons","58","Exalted Truth","","Adaptive Frame","0.58%","∞%"
"hand-cannons","59","Warden's Law (Adept)","","Heavy Burst","0.57%","∞%"
"hand-cannons","60","Exalted Truth (Adept)","","Adaptive Frame","0.56%","∞%"
"hand-cannons","61","Dire Promise","","Adaptive Frame","0.56%","∞%"
"hand-cannons","62","Posterity","","Precision Frame","0.55%","∞%"
"hand-cannons","63","Fatebringer","","Adaptive Frame","0.55%","∞%"
"hand-cannons","64","Triple Laureate","","Spread Shot","0.54%","∞%"
"hand-cannons","65","Unloved","","Heavy Burst","0.54%","∞%"
"hand-cannons","66","Spare Rations","","Adaptive Frame","0.52%","∞%"
"hand-cannons","67","Yesterday's Question","","Heavy Burst","0.52%","∞%"
"hand-cannons","68","The Palindrome (Adept)","","Adaptive Frame","0.51%","∞%"
"hand-cannons","69","Igneous Hammer (Adept)","","Aggressive Frame","0.51%","∞%"
"hand-cannons","70","Zaouli's Bane (Harrowed)","","Adaptive Frame","0.50%","∞%"
"hand-cannons","71","Maahes HC4","","Heavy Burst","0.50%","∞%"
"hand-cannons","72","Round Robin","","Aggressive Frame","0.49%","∞%"
"hand-cannons","73","Kept Confidence","","Adaptive Frame","0.49%","∞%"
"hand-cannons","74","Sixth Sense","","Aggressive Frame","0.48%","∞%"
"hand-cannons","75","Cantata-57","","Adaptive Frame","0.47%","∞%"
"hand-cannons","76","Vulpecula","","Precision Frame","0.47%","∞%"
"hand-cannons","77","D.F.A.","","Adaptive Frame","0.46%","∞%"
"hand-cannons","78","True Prophecy","","Aggressive Frame","0.46%","∞%"
"hand-cannons","79","Better Devils","","Adaptive Frame","0.45%","∞%"
"hand-cannons","80","Loud Lullaby","","Aggressive Frame","0.45%","∞%"
"hand-cannons","81","Igneous Hammer","","Aggressive Frame","0.45%","∞%"
"hand-cannons","82","Targeted Redaction","","Aggressive Frame","0.44%","∞%"
"hand-cannons","83","Midnight Coup","","Adaptive Frame","0.43%","∞%"
"hand-cannons","84","Luna's Howl","","Precision Frame","0.43%","∞%"
"hand-cannons","85","Service Revolver","","Precision Frame","0.42%","∞%"
"hand-cannons","86","Trust","","Precision Frame","0.42%","∞%"
"hand-cannons","87","Exuviae","","Aggressive Frame","0.41%","∞%"
"hand-cannons","88","Bottom Dollar","","Aggressive Frame","0.41%","∞%"
"hand-cannons","89","Waking Vigil","","Lightweight Frame","0.41%","∞%"
"hand-cannons","90","True Prophecy","","Aggressive Frame","0.41%","∞%"
"hand-cannons","91","Combined Action","","Aggressive Frame","0.39%","∞%"
"hand-cannons","92","The Palindrome","","Adaptive Frame","0.35%","∞%"
"hand-cannons","93","Igneous Hammer","","Aggressive Frame","0.33%","∞%"
"hand-cannons","94","Something New","","Aggressive Frame","0.33%","∞%"
"hand-cannons","95","Ancient Gospel","","Adaptive Frame","0.32%","∞%"
"hand-cannons","96","Survivor's Epitaph","","Precision Frame","0.30%","∞%"
"hand-cannons","97","The Steady Hand","","Aggressive Frame","0.30%","∞%"
"hand-cannons","98","Waking Vigil","","Adaptive Frame","0.29%","∞%"
"hand-cannons","99","IKELOS_HC_v1.0.3","","Precision Frame","0.29%","∞%"
"hand-cannons","100","Igneous Hammer (Adept)","","Aggressive Frame","0.29%","∞%"
"linear-fusion-rifles","1","Mistral Lift","","Adaptive Burst","12.88%","∞%"
"linear-fusion-rifles","2","Boomslang-4fr","","Adaptive Burst","7.59%","∞%"
"linear-fusion-rifles","3","Taipan-4fr","","Precision Frame","6.87%","∞%"
"linear-fusion-rifles","4","Eyes Unveiled","","Precision Frame","6.25%","∞%"
"linear-fusion-rifles","5","Cataclysmic","","Precision Frame","6.11%","∞%"
"linear-fusion-rifles","6","Suspectum-4fr","","Precision Frame","4.76%","∞%"
"linear-fusion-rifles","7","Scintillation (Adept)","","Adaptive Burst","4.46%","∞%"
"linear-fusion-rifles","8","Briar's Contempt","","Adaptive Burst","4.44%","∞%"
"linear-fusion-rifles","9","Mistral Lift","","Adaptive Burst","4.24%","∞%"
"linear-fusion-rifles","10","Doomed Petitioner","","Adaptive Burst","4.06%","∞%"
"linear-fusion-rifles","11","Stormchaser","","Adaptive Burst","3.82%","∞%"
"linear-fusion-rifles","12","Willful Hamartia","","Adaptive Burst","3.77%","∞%"
"linear-fusion-rifles","13","Line in the Sand","","Precision Frame","3.42%","∞%"
"linear-fusion-rifles","14","Stormchaser","","Adaptive Burst","3.37%","∞%"
"linear-fusion-rifles","15","Reed's Regret","","Precision Frame","3.11%","∞%"
"linear-fusion-rifles","16","Threaded Needle","","Precision Frame","2.18%","∞%"
"linear-fusion-rifles","17","Fire and Forget","","Adaptive Burst","2.08%","∞%"
"linear-fusion-rifles","18","Sailspy Pitchglass","","Precision Frame","2.02%","∞%"
"linear-fusion-rifles","19","Eyes Unveiled","","Precision Frame","1.98%","∞%"
"linear-fusion-rifles","20","Reed's Regret (Adept)","","Precision Frame","1.40%","∞%"
"linear-fusion-rifles","21","Scintillation","","Adaptive Burst","1.38%","∞%"
"linear-fusion-rifles","22","Tarantula","","Precision Frame","1.29%","∞%"
"linear-fusion-rifles","23","Mistral Lift","","Adaptive Burst","1.17%","∞%"
"linear-fusion-rifles","24","Laser Painter","","Precision Frame","1.16%","∞%"
"linear-fusion-rifles","25","Cataclysmic (Adept)","","Precision Frame","1.11%","∞%"
"linear-fusion-rifles","26","Eyes Unveiled","","Precision Frame","1.09%","∞%"
"linear-fusion-rifles","27","Briar's Contempt (Adept)","","Adaptive Burst","0.97%","∞%"
"linear-fusion-rifles","28","Corsair's Wrath","","Precision Frame","0.87%","∞%"
"linear-fusion-rifles","29","Eyes Unveiled (Adept)","","Precision Frame","0.77%","∞%"
"linear-fusion-rifles","30","Scintillation","","Adaptive Burst","0.37%","∞%"
"linear-fusion-rifles","31","Crooked Fang-4fr","","Precision Frame","0.36%","∞%"
"linear-fusion-rifles","32","Eyes Unveiled (Adept)","","Precision Frame","0.32%","∞%"
"linear-fusion-rifles","33","Line in the Sand","","Precision Frame","0.21%","∞%"
"linear-fusion-rifles","34","Reed's Regret","","Precision Frame","0.10%","∞%"
"linear-fusion-rifles","35","Laser Painter","","Precision Frame","0.05%","∞%"
"machine-guns","1","Qua Vinctus IV","","High-Impact Frame","8.79%","∞%"
"machine-guns","2","Hammerhead","","Adaptive Frame","6.78%","∞%"
"machine-guns","3","Bitter End","","Balanced Heat Weapon","6.14%","∞%"
"machine-guns","4","Unwavering Duty","","Adaptive Frame","3.91%","∞%"
"machine-guns","5","21% Delirium","","Rapid-Fire Frame","3.59%","∞%"
"machine-guns","6","DIABLERETS 06","","Rapid-Fire Frame","3.58%","∞%"
"machine-guns","7","Commemoration","","Adaptive Frame","3.40%","∞%"
"machine-guns","8","Seventh Seraph SAW","","High-Impact Frame","3.16%","∞%"
"machine-guns","9","Pro Memoria","","Aggressive Frame","3.10%","∞%"
"machine-guns","10","Chain of Command","","Adaptive Frame","2.88%","∞%"
"machine-guns","11","Dawn Far Off","","Aggressive Frame","2.75%","∞%"
"machine-guns","12","Qua Vinctus IV","","High-Impact Frame","2.52%","∞%"
"machine-guns","13","Ulterior Observation","","Aggressive Frame","2.36%","∞%"
"machine-guns","14","Retrofit Escapade","","Rapid-Fire Frame","2.26%","∞%"
"machine-guns","15","Hammerhead","","Adaptive Frame","2.17%","∞%"
"machine-guns","16","Hammerhead","","Adaptive Frame","2.01%","∞%"
"machine-guns","17","Temporal Clause","","Aggressive Frame","1.98%","∞%"
"machine-guns","18","Corrective Measure","","Aggressive Frame","1.96%","∞%"
"machine-guns","19","Bane of Sorrow","","High-Impact Frame","1.91%","∞%"
"machine-guns","20","Watchful Eye","","Aggressive Frame","1.80%","∞%"
"machine-guns","21","Marcato-45","","Adaptive Frame","1.78%","∞%"
"machine-guns","22","Terminus Horizon","","High-Impact Frame","1.71%","∞%"
"machine-guns","23","Song of Ir Yût","","Adaptive Frame","1.37%","∞%"
"machine-guns","24","Qua Furor V","","Aggressive Frame","1.32%","∞%"
"machine-guns","25","Thermal Erosion","","Rapid-Fire Frame","1.29%","∞%"
"machine-guns","26","Dawn Far Off","","Aggressive Frame","1.22%","∞%"
"machine-guns","27","Fixed Odds","","High-Impact Frame","1.20%","∞%"
"machine-guns","28","Speleologist","","Rapid-Fire Frame","1.18%","∞%"
"machine-guns","29","Corrective Measure","","Adaptive Frame","1.03%","∞%"
"machine-guns","30","A Fine Memorial","","Adaptive Frame","0.97%","∞%"
"machine-guns","31","Circular Logic","","Adaptive Frame","0.86%","∞%"
"machine-guns","32","Seventh Seraph SAW","","High-Impact Frame","0.85%","∞%"
"machine-guns","33","Qullim's Terminus","","High-Impact Frame","0.84%","∞%"
"machine-guns","34","Hammerhead","","Adaptive Frame","0.83%","∞%"
"machine-guns","35","Terminus Horizon","","High-Impact Frame","0.80%","∞%"
"machine-guns","36","Watchful Eye","","Aggressive Frame","0.79%","∞%"
"machine-guns","37","Archon's Thunder","","High-Impact Frame","0.78%","∞%"
"machine-guns","38","Planck's Stride","","Rapid-Fire Frame","0.64%","∞%"
"machine-guns","39","Shattered Cipher","","Rapid-Fire Frame","0.64%","∞%"
"machine-guns","40","Eleatic Principle","","Rapid-Fire Frame","0.62%","∞%"
"machine-guns","41","Corrective Measure (Timelost)","","Aggressive Frame","0.62%","∞%"
"machine-guns","42","Circular Logic","","Adaptive Frame","0.61%","∞%"
"machine-guns","43","Terminus Horizon (Adept)","","High-Impact Frame","0.60%","∞%"
"machine-guns","44","Recurrent Impact","","Rapid-Fire Frame","0.58%","∞%"
"machine-guns","45","Watchful Eye","","Aggressive Frame","0.54%","∞%"
"machine-guns","46","Avalanche","","Adaptive Frame","0.52%","∞%"
"machine-guns","47","Archon's Thunder","","High-Impact Frame","0.51%","∞%"
"machine-guns","48","Hammerhead","","Adaptive Frame","0.51%","∞%"
"machine-guns","49","Avalanche","","Adaptive Frame","0.51%","∞%"
"machine-guns","50","Watchful Eye (Adept)","","Aggressive Frame","0.50%","∞%"
"machine-guns","51","Unwavering Duty","","Adaptive Frame","0.47%","∞%"
"machine-guns","52","Qua Xaphan V","","High-Impact Frame","0.45%","∞%"
"machine-guns","53","Avalanche","","Adaptive Frame","0.43%","∞%"
"machine-guns","54","Terminus Horizon","","High-Impact Frame","0.42%","∞%"
"machine-guns","55","THE SWARM (Adept)","","High-Impact Frame","0.39%","∞%"
"machine-guns","56","Corrective Measure (Timelost)","","Adaptive Frame","0.38%","∞%"
"machine-guns","57","Song of Ir Yût (Adept)","","Adaptive Frame","0.37%","∞%"
"machine-guns","58","Avalanche","","Adaptive Frame","0.37%","∞%"
"machine-guns","59","Unwavering Duty","","Adaptive Frame","0.32%","∞%"
"machine-guns","60","THE SWARM (Adept)","","High-Impact Frame","0.32%","∞%"
"machine-guns","61","THE SWARM","","High-Impact Frame","0.31%","∞%"
"machine-guns","62","Qullim's Terminus (Harrowed)","","High-Impact Frame","0.31%","∞%"
"machine-guns","63","Bane of Sorrow","","High-Impact Frame","0.28%","∞%"
"machine-guns","64","Terminus Horizon","","High-Impact Frame","0.27%","∞%"
"machine-guns","65","Thermal Erosion","","Rapid-Fire Frame","0.26%","∞%"
"machine-guns","66","Unwavering Duty (Adept)","","Adaptive Frame","0.22%","∞%"
"machine-guns","67","THE SWARM","","High-Impact Frame","0.21%","∞%"
"machine-guns","68","A Fine Memorial","","Adaptive Frame","0.17%","∞%"
"machine-guns","69","Watchful Eye (Adept)","","Aggressive Frame","0.17%","∞%"
"machine-guns","70","Unwavering Duty (Adept)","","Adaptive Frame","0.16%","∞%"
"machine-guns","71","Temporal Clause","","Rapid-Fire Frame","0.15%","∞%"
"machine-guns","72","Terminus Horizon (Adept)","","High-Impact Frame","0.10%","∞%"
"machine-guns","73","Archon's Thunder","","High-Impact Frame","0.08%","∞%"
"machine-guns","74","Fixed Odds","","High-Impact Frame","0.06%","∞%"
"machine-guns","75","Bane of Sorrow","","High-Impact Frame","0.05%","∞%"
"pulse-rifles","1","Mint Retrograde","","Micro-Missile Frame","7.34%","∞%"
"pulse-rifles","2","Mint Retrograde","","Micro-Missile Frame","5.69%","∞%"
"pulse-rifles","3","Nightshade","","Lightweight Frame","3.67%","∞%"
"pulse-rifles","4","Joxer's Longsword","","Heavy Burst","3.49%","∞%"
"pulse-rifles","5","Psi Aeterna IV","","Micro-Missile Frame","3.33%","∞%"
"pulse-rifles","6","High Tyrant","","Balanced Heat Weapon","3.05%","∞%"
"pulse-rifles","7","Autumn Wind","","Rapid-Fire Frame","2.68%","∞%"
"pulse-rifles","8","Horror's Least","","Rapid-Fire Frame","2.47%","∞%"
"pulse-rifles","9","Blast Furnace","","Aggressive Burst","2.45%","∞%"
"pulse-rifles","10","Chattering Bone","","Lightweight Frame","2.43%","∞%"
"pulse-rifles","11","The Time-Worn Spire","","Rapid-Fire Frame","2.41%","∞%"
"pulse-rifles","12","The Martlet","","Lightweight Frame","2.31%","∞%"
"pulse-rifles","13","Outbreak Perfected","","The Corruption Spreads","2.08%","∞%"
"pulse-rifles","14","BxR-55 Battler","","Legacy PR-55 Frame","2.06%","∞%"
"pulse-rifles","15","Gridskipper","","Rapid-Fire Frame","2.06%","∞%"
"pulse-rifles","16","Infinite Paths 8","","Lightweight Frame","2.04%","∞%"
"pulse-rifles","17","All or Nothing","","Dynamic Heat Weapon","1.90%","∞%"
"pulse-rifles","18","Bygones","","Adaptive Frame","1.75%","∞%"
"pulse-rifles","19","Psi Aeterna IV","","Micro-Missile Frame","1.66%","∞%"
"pulse-rifles","20","Mint Retrograde","","Micro-Missile Frame","1.62%","∞%"
"pulse-rifles","21","Last Thursday","","Adaptive Frame","1.29%","∞%"
"pulse-rifles","22","Veillantif-D","","Micro-Missile Frame","1.21%","∞%"
"pulse-rifles","23","Stars in Shadow","","High-Impact Frame","1.21%","∞%"
"pulse-rifles","24","Darkest Before","","Rapid-Fire Frame","1.12%","∞%"
"pulse-rifles","25","The Messenger","","High-Impact Frame","1.03%","∞%"
"pulse-rifles","26","Elsie's Rifle","","High-Impact Frame","0.90%","∞%"
"pulse-rifles","27","Revision Zero","","Hunter's Trace","0.85%","∞%"
"pulse-rifles","28","Relentless","","High-Impact Frame","0.84%","∞%"
"pulse-rifles","29","Veles-X","","Aggressive Burst","0.77%","∞%"
"pulse-rifles","30","All or Nothing","","Dynamic Heat Weapon","0.75%","∞%"
"pulse-rifles","31","Blast Furnace","","Aggressive Burst","0.74%","∞%"
"pulse-rifles","32","Phyllotactic Spiral","","High-Impact Frame","0.72%","∞%"
"pulse-rifles","33","Claws of the Wolf","","Rapid-Fire Frame","0.69%","∞%"
"pulse-rifles","34","Syncopation-53","","Adaptive Frame","0.68%","∞%"
"pulse-rifles","35","Aisha's Care","","Heavy Burst","0.68%","∞%"
"pulse-rifles","36","Joxer's Longsword","","Heavy Burst","0.67%","∞%"
"pulse-rifles","37","Hailing Confusion","","Adaptive Frame","0.62%","∞%"
"pulse-rifles","38","Piece of Mind","","Rapid-Fire Frame","0.60%","∞%"
"pulse-rifles","39","Nullify","","Heavy Burst","0.60%","∞%"
"pulse-rifles","40","Chattering Bone","","Lightweight Frame","0.59%","∞%"
"pulse-rifles","41","Insidious","","Aggressive Burst","0.59%","∞%"
"pulse-rifles","42","Horror's Least","","Rapid-Fire Frame","0.58%","∞%"
"pulse-rifles","43","Disparity","","Aggressive Burst","0.56%","∞%"
"pulse-rifles","44","Redrix's Estoc","","Legacy PR-55 Frame","0.54%","∞%"
"pulse-rifles","45","Redrix's Estoc","","Legacy PR-55 Frame","0.54%","∞%"
"pulse-rifles","46","Blast Furnace","","Aggressive Burst","0.53%","∞%"
"pulse-rifles","47","Premonition","","High-Impact Frame","0.52%","∞%"
"pulse-rifles","48","New Purpose","","High-Impact Frame","0.52%","∞%"
"pulse-rifles","49","Aisha's Care","","Heavy Burst","0.51%","∞%"
"pulse-rifles","50","Oversoul Edict","","Rapid-Fire Frame","0.51%","∞%"
"pulse-rifles","51","Battle Scar","","Lightweight Frame","0.50%","∞%"
"pulse-rifles","52","Smite of Merain","","Adaptive Frame","0.50%","∞%"
"pulse-rifles","53","Bygones","","Adaptive Frame","0.49%","∞%"
"pulse-rifles","54","Elsie's Rifle","","High-Impact Frame","0.47%","∞%"
"pulse-rifles","55","Psi Hermetic V","","High-Impact Frame","0.47%","∞%"
"pulse-rifles","56","Cruel Mercy (Adept)","","Heavy Burst","0.47%","∞%"
"pulse-rifles","57","Corrasion","","Heavy Burst","0.47%","∞%"
"pulse-rifles","58","Vantage Point","","Adaptive Frame","0.46%","∞%"
"pulse-rifles","59","Different Times","","Rapid-Fire Frame","0.45%","∞%"
"pulse-rifles","60","Elsie's Rifle","","High-Impact Frame","0.43%","∞%"
"pulse-rifles","61","The Messenger","","High-Impact Frame","0.40%","∞%"
"pulse-rifles","62","Chattering Bone","","Lightweight Frame","0.40%","∞%"
"pulse-rifles","63","Ogma PR6","","Lightweight Frame","0.40%","∞%"
"pulse-rifles","64","Scalar Potential","","Rapid-Fire Frame","0.38%","∞%"
"pulse-rifles","65","Battle Scar","","Lightweight Frame","0.36%","∞%"
"pulse-rifles","66","Veillantif-D","","Micro-Missile Frame","0.36%","∞%"
"pulse-rifles","67","Stay Frosty","","Lightweight Frame","0.35%","∞%"
"pulse-rifles","68","Joxer's Longsword","","Heavy Burst","0.35%","∞%"
"pulse-rifles","69","Gridskipper","","Rapid-Fire Frame","0.35%","∞%"
"pulse-rifles","70","Aisha's Care (Adept)","","Heavy Burst","0.35%","∞%"
"pulse-rifles","71","Gridskipper","","Rapid-Fire Frame","0.34%","∞%"
"pulse-rifles","72","Autumn Wind","","Rapid-Fire Frame","0.34%","∞%"
"pulse-rifles","73","Adhortative","","Adaptive Frame","0.34%","∞%"
"pulse-rifles","74","Relentless","","High-Impact Frame","0.32%","∞%"
"pulse-rifles","75","Nightshade","","Lightweight Frame","0.32%","∞%"
"pulse-rifles","76","Sacred Provenance","","Aggressive Burst","0.32%","∞%"
"pulse-rifles","77","Jorum's Claw","","Adaptive Frame","0.31%","∞%"
"pulse-rifles","78","Belisarius-D","","Aggressive Burst","0.31%","∞%"
"pulse-rifles","79","Relentless","","High-Impact Frame","0.31%","∞%"
"pulse-rifles","80","Cold Denial","","High-Impact Frame","0.30%","∞%"
"pulse-rifles","81","Blast Furnace","","Aggressive Burst","0.30%","∞%"
"pulse-rifles","82","The Messenger","","High-Impact Frame","0.30%","∞%"
"pulse-rifles","83","Stars in Shadow","","High-Impact Frame","0.29%","∞%"
"pulse-rifles","84","Relentless","","High-Impact Frame","0.29%","∞%"
"pulse-rifles","85","Last Perdition","","Adaptive Frame","0.29%","∞%"
"pulse-rifles","86","Darkest Before","","Rapid-Fire Frame","0.28%","∞%"
"pulse-rifles","87","The Third Axiom","","Adaptive Frame","0.28%","∞%"
"pulse-rifles","88","Darkest Before","","Rapid-Fire Frame","0.27%","∞%"
"pulse-rifles","89","Forge's Pledge","","Adaptive Frame","0.27%","∞%"
"pulse-rifles","90","Smite of Merain (Harrowed)","","Adaptive Frame","0.27%","∞%"
"pulse-rifles","91","The Messenger (Adept)","","High-Impact Frame","0.26%","∞%"
"pulse-rifles","92","New Purpose","","High-Impact Frame","0.26%","∞%"
"pulse-rifles","93","Stay Frosty","","Lightweight Frame","0.24%","∞%"
"pulse-rifles","94","Outlast","","Rapid-Fire Frame","0.24%","∞%"
"pulse-rifles","95","Jurassic Green","","Rapid-Fire Frame","0.23%","∞%"
"pulse-rifles","96","Sacred Provenance","","Aggressive Burst","0.22%","∞%"
"pulse-rifles","97","Jurassic Green","","Rapid-Fire Frame","0.22%","∞%"
"pulse-rifles","98","Legal Action II","","High-Impact Frame","0.22%","∞%"
"pulse-rifles","99","Cruel Mercy","","Heavy Burst","0.22%","∞%"
"pulse-rifles","100","Jian 7 Rifle","","Adaptive Frame","0.22%","∞%"
"rocket-launchers","1","Cynosure","","Adaptive Frame","10.70%","∞%"
"rocket-launchers","2","Roar of the Bear","","High-Impact Frame","6.92%","∞%"
"rocket-launchers","3","The Hothead","","Adaptive Frame","6.37%","∞%"
"rocket-launchers","4","Apex Predator","","Adaptive Frame","4.93%","∞%"
"rocket-launchers","5","Hezen Vengeance","","Aggressive Frame","4.49%","∞%"
"rocket-launchers","6","Haliaetus","","High-Impact Frame","3.96%","∞%"
"rocket-launchers","7","Crux Termination IV","","Aggressive Frame","3.41%","∞%"
"rocket-launchers","8","Bellowing Giant","","Adaptive Frame","3.09%","∞%"
"rocket-launchers","9","Palmyra-B","","Precision Frame","2.56%","∞%"
"rocket-launchers","10","Ascendancy","","Precision Frame","2.48%","∞%"
"rocket-launchers","11","Crowning Duologue","","Precision Frame","2.01%","∞%"
"rocket-launchers","12","Pyroclastic Flow","","Precision Frame","1.98%","∞%"
"rocket-launchers","13","Folded Root","","Aggressive Frame","1.96%","∞%"
"rocket-launchers","14","Micromort","","Precision Frame","1.95%","∞%"
