Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"363","Tusk of the Boar","Grenade Launcher","Wave Frame","0.08%","∞%"
"364","Vision of Confluence","Scout Rifle","Precision Frame","0.08%","∞%"
"365","Something New","Hand Cannon","Aggressive Frame","0.08%","∞%"
"366","Forced Memorializer","Scout Rifle","Precision Frame","0.08%","∞%"
"367","Modified B-7 Pistol","Hand Cannon","Dynamic Heat Weapon","0.08%","∞%"
"368","Typhon GL5","Grenade Launcher","Adaptive Frame","0.08%","∞%"
"369","Dawn Far Off","Machine Gun","Aggressive Frame","0.08%","∞%"
"370","Eyasluna","Hand Cannon","Adaptive Frame","0.08%","∞%"
"371","Accelerando-42","Fusion Rifle","Precision Frame","0.08%","∞%"
"372","Bad Omens","Rocket Launcher","Aggressive Frame","0.08%","∞%"
"373","Bold Endings","Hand Cannon","Heavy Burst","0.08%","∞%"
"374","Pardon Our Dust","Grenade Launcher","Lightweight Frame","0.08%","∞%"
"375","Fixed Odds","Machine Gun","High-Impact Frame","0.08%","∞%"
"376","Trustee","Scout Rifle","Rapid-Fire Frame","0.08%","∞%"
"377","Lotus-Eater (Adept)","Sidearm","Micro-Missile Frame","0.08%","∞%"
"378","Krait","Auto Rifle","Rapid-Fire Frame","0.08%","∞%"
"379","Reckless Oracle","Auto Rifle","Rapid-Fire Frame","0.08%","∞%"
"380","Dead Messenger","Grenade Launcher","Trinary Vision","0.08%","∞%"
"381","Hezen Vengeance (Timelost)","Rocket Launcher","Aggressive Frame","0.08%","∞%"
"382","Breachlight","Sidearm","Heavy Burst","0.08%","∞%"
"383","Word of Crota","Hand Cannon","Precision Frame","0.08%","∞%"
"384","Judgment","Hand Cannon","Adaptive Frame","0.08%","∞%"
"385","Edge Transit","Grenade Launcher","Adaptive Frame","0.08%","∞%"
"386","Beloved","Sniper Rifle","Adaptive Frame","0.08%","∞%"
"387","Veles-X","Pulse Rifle","Aggressive Burst","0.08%","∞%"
"388","Fimbulwinter Stitch","Sidearm","Precision Frame","0.08%","∞%"
"389","Matador 64","Shotgun","Precision Frame","0.08%","∞%"
"390","Speleologist","Machine Gun","Rapid-Fire Frame","0.08%","∞%"
"391","Unsworn","Trace Rifle","Adaptive Frame","0.08%","∞%"
"392","Fatebringer (Timelost)","Hand Cannon","Adaptive Frame","0.08%","∞%"
"393","The Slammer","Sword","Vortex Frame","0.08%","∞%"
"394","Imperial Decree","Shotgun","Aggressive Frame","0.07%","∞%"
"395","Luna's Howl","Hand Cannon","Precision Frame","0.07%","∞%"
"396","Whatchamacallit","Submachine Gun","Aggressive Burst","0.07%","∞%"
"397","Tarnation","Grenade Launcher","Rapid-Fire Frame","0.07%","∞%"
"398","Permafrost","Grenade Launcher","Wave Frame","0.07%","∞%"
"399","1000 Yard Stare","Sniper Rifle","Adaptive Frame","0.07%","∞%"
"400","All or Nothing","Pulse Rifle","Dynamic Heat Weapon","0.07%","∞%"
"401","Line in the Sand","Linear Fusion Rifle","Precision Frame","0.07%","∞%"
"402","Arc Logic","Auto Rifle","Adaptive Frame","0.07%","∞%"
"403","Unworthy","Scout Rifle","Rapid-Fire Frame","0.07%","∞%"
"404","Bitter/Sweet","Grenade Launcher","Adaptive Frame","0.07%","∞%"
"405","Convened Recurve","Combat Bow","High-Impact Longbow","0.07%","∞%"
"406","Blast Furnace","Pulse Rifle","Aggressive Burst","0.07%","∞%"
"407","Old Sterling","Auto Rifle","Adaptive Frame","0.07%","∞%"
"408","Regnant","Grenade Launcher","Adaptive Frame","0.07%","∞%"
"409","Liminal Vigil","Sidearm","Heavy Burst","0.07%","∞%"
"410","Stormchaser","Linear Fusion Rifle","Adaptive Burst","0.07%","∞%"
"411","Fatebringer (Timelost)","Hand Cannon","Adaptive Frame","0.07%","∞%"
"412","Dead Man's Tale","Scout Rifle","Cranial Spike","0.07%","∞%"
"413","The Palindrome (Adept)","Hand Cannon","Adaptive Frame","0.07%","∞%"
"414","Cartesian Coordinate","Fusion Rifle","Rapid-Fire Frame","0.07%","∞%"
"415","Perfect Paradox","Shotgun","Rapid-Fire Frame","0.07%","∞%"
"416","Finite Maybe","Fusion Rifle","Aggressive Frame","0.07%","∞%"
"417","Phyllotactic Spiral","Pulse Rifle","High-Impact Frame","0.07%","∞%"
"418","Sola's Scar","Sword","Caster Frame","0.07%","∞%"
"419","VS Pyroelectric Propellant","Auto Rifle","Adaptive Frame","0.07%","∞%"
"420","Ragnhild-D","Shotgun","Aggressive Frame","0.07%","∞%"
"421","Trophy Hunter","Sniper Rifle","Aggressive Frame","0.07%","∞%"
"422","Long Arm","Scout Rifle","Aggressive Frame","0.07%","∞%"
"423","Timeworn Wayfarer","Scout Rifle","Aggressive Frame","0.07%","∞%"
"424","Perpetualis","Auto Rifle","Adaptive Frame","0.07%","∞%"
"425","Swordbreaker","Shotgun","Lightweight Frame","0.07%","∞%"
"426","Sightline Survey","Hand Cannon","Precision Frame","0.07%","∞%"
"427","Unending Tempest","Submachine Gun","Precision Frame","0.07%","∞%"
"428","Hush","Combat Bow","Precision Frame","0.07%","∞%"
"429","Claws of the Wolf","Pulse Rifle","Rapid-Fire Frame","0.07%","∞%"
"430","Bequest","Sword","Adaptive Frame","0.07%","∞%"
"431","Last Man Standing","Shotgun","Aggressive Frame","0.07%","∞%"
"432","Kindled Orchid","Hand Cannon","Adaptive Frame","0.07%","∞%"
"433","Parabellum","Submachine Gun","Adaptive Frame","0.07%","∞%"
"434","Edge Transit","Grenade Launcher","Adaptive Frame","0.07%","∞%"
"435","Seventh Seraph CQC-12","Shotgun","Lightweight Frame","0.07%","∞%"
"436","Aisha's Care","Pulse Rifle","Heavy Burst","0.07%","∞%"
"437","Syncopation-53","Pulse Rifle","Adaptive Frame","0.07%","∞%"
"438","Graviton Spike","Hand Cannon","Temporal Manipulation","0.07%","∞%"
"439","Dead Man's Tale","Scout Rifle","Cranial Spike","0.07%","∞%"
"440","Drang (Baroque)","Sidearm","Together Forever","0.07%","∞%"
"441","The Riposte","Auto Rifle","Lightweight Frame","0.07%","∞%"
"442","Tarnished Mettle","Scout Rifle","Lightweight Frame","0.07%","∞%"
"443","The Hothead","Rocket Launcher","Adaptive Frame","0.07%","∞%"
"444","Reed's Regret","Linear Fusion Rifle","Precision Frame","0.07%","∞%"
"445","Corrective Measure","Machine Gun","Adaptive Frame","0.07%","∞%"
"446","Joxer's Longsword","Pulse Rifle","Heavy Burst","0.07%","∞%"
"447","The Hothead (Adept)","Rocket Launcher","Adaptive Frame","0.07%","∞%"
"448","Solemn Lie","Hand Cannon","Lightweight Frame","0.07%","∞%"
"449","Reckless Endangerment","Shotgun","Lightweight Frame","0.07%","∞%"
"450","Cold Comfort","Rocket Launcher","Aggressive Frame","0.07%","∞%"
"451","The When and Where","Rocket Launcher","Adaptive Frame","0.07%","∞%"
"452","Malediction","Hand Cannon","Aggressive Frame","0.07%","∞%"
"453","Dragoncult Sickle","Sword","Caster Frame","0.07%","∞%"
"454","First In, Last Out","Shotgun","Pinpoint Slug Frame","0.06%","∞%"
"455","Bump in the Night","Rocket Launcher","Aggressive Frame","0.06%","∞%"
"456","Nasreddin","Sword","Lightweight Frame","0.06%","∞%"
"457","Multimach CCX","Submachine Gun","Lightweight Frame","0.06%","∞%"
"458","Defiance of Yasmin","Sniper Rifle","Adaptive Frame","0.06%","∞%"
"459","Exalted Truth","Hand Cannon","Adaptive Frame","0.06%","∞%"
"460","Wish-Keeper","Combat Bow","Snareweaver","0.06%","∞%"
"461","Koraxis's Distress","Grenade Launcher","Rapid-Fire Frame","0.06%","∞%"
"462","Randy's Throwing Knife","Scout Rifle","Rapid-Fire Frame","0.06%","∞%"
"463","A Fine Memorial","Machine Gun","Adaptive Frame","0.06%","∞%"
"464","Taraxippos","Scout Rifle","Lightweight Frame","0.06%","∞%"
"465","VS Chill Inhibitor","Grenade Launcher","Rapid-Fire Frame","0.06%","∞%"
"466","Red Herring","Rocket Launcher","Adaptive Frame","0.06%","∞%"
"467","Iterative Loop","Fusion Rifle","Rapid-Fire Frame","0.06%","∞%"
"468","Warden's Law (Adept)","Hand Cannon","Heavy Burst","0.06%","∞%"
"469","Warlord's Spear","Trace Rifle","Adaptive Frame","0.06%","∞%"
"470","Keraunios","Trace Rifle","Adaptive Frame","0.06%","∞%"
"471","Unworthy","Scout Rifle","Rapid-Fire Frame","0.06%","∞%"
"472","Hailing Confusion","Pulse Rifle","Adaptive Frame","0.06%","∞%"
"473","Deadlock","Shotgun","Precision Frame","0.06%","∞%"
"474","Dire Promise","Hand Cannon","Adaptive Frame","0.06%","∞%"
"475","Exalted Truth (Adept)","Hand Cannon","Adaptive Frame","0.06%","∞%"
"476","The Scholar","Scout Rifle","High-Impact Frame","0.06%","∞%"
"477","Patron of Lost Causes","Scout Rifle","Lightweight Frame","0.06%","∞%"
"478","Posterity","Hand Cannon","Precision Frame","0.06%","∞%"
"479","Intercalary","Auto Rifle","Adaptive Frame","0.06%","∞%"
"480","Fatebringer","Hand Cannon","Adaptive Frame","0.06%","∞%"
"481","Harsh Language","Grenade Launcher","Wave Frame","0.06%","∞%"
"482","Resounding","Fusion Rifle","Aggressive Frame","0.06%","∞%"
"483","Staccato-46","Scout Rifle","Precision Frame","0.06%","∞%"
"484","Vexcalibur","Glaive","M1R Distribution Matrix","0.06%","∞%"
"485","Piece of Mind","Pulse Rifle","Rapid-Fire Frame","0.06%","∞%"
"486","Ignition Code","Grenade Launcher","Lightweight Frame","0.06%","∞%"
"487","Fortunate Star","Combat Bow","Lightweight Frame","0.06%","∞%"
"488","Nullify","Pulse Rifle","Heavy Burst","0.06%","∞%"
"489","Embraced Identity","Sniper Rifle","Adaptive Frame","0.06%","∞%"
"490","Hardline Cut","Sword","Adaptive Frame","0.06%","∞%"
"491","Unloved","Hand Cannon","Heavy Burst","0.06%","∞%"
"492","Triple Laureate","Hand Cannon","Spread Shot","0.06%","∞%"
"493","Succession","Sniper Rifle","Aggressive Frame","0.06%","∞%"
"494","Fractethyst","Shotgun","Precision Frame","0.06%","∞%"
"495","Judgment of Kelgorath","Glaive","Aggressive Glaive","0.06%","∞%"
"496","Chattering Bone","Pulse Rifle","Lightweight Frame","0.06%","∞%"
"497","Techeun Force","Fusion Rifle","Adaptive Frame","0.06%","∞%"
"498","The Mountaintop","Grenade Launcher","Micro-Missile Frame","0.06%","∞%"
"499","Bad Omens","Rocket Launcher","Aggressive Frame","0.06%","∞%"
"500","Hollow Denial","Trace Rifle","Adaptive Frame","0.06%","∞%"
"501","The Mountaintop","Grenade Launcher","Micro-Missile Frame","0.06%","∞%"
"502","Hollow Denial","Trace Rifle","Adaptive Frame","0.06%","∞%"
"503","Keraunios","Trace Rifle","Adaptive Frame","0.06%","∞%"
"504","Insidious","Pulse Rifle","Aggressive Burst","0.06%","∞%"
"505","The Hothead","Rocket Launcher","Adaptive Frame","0.06%","∞%"
"506","Faith-Keeper","Rocket Launcher","Precision Frame","0.06%","∞%"
"507","Night Watch","Scout Rifle","Lightweight Frame","0.06%","∞%"
"508","Unvoiced","Shotgun","Pinpoint Slug Frame","0.06%","∞%"
"509","Horror's Least","Pulse Rifle","Rapid-Fire Frame","0.06%","∞%"
"510","Chronophage","Trace Rifle","Adaptive Frame","0.06%","∞%"
"511","Spare Rations","Hand Cannon","Adaptive Frame","0.06%","∞%"
"512","Evening SI4","Sidearm","Adaptive Burst","0.06%","∞%"
"513","Semiotician","Rocket Launcher","High-Impact Frame","0.06%","∞%"
"514","Wild Style (Adept)","Grenade Launcher","Double Fire","0.06%","∞%"
"515","Hung Jury SR4","Scout Rifle","Precision Frame","0.06%","∞%"
"516","The Immortal (Adept)","Submachine Gun","Aggressive Frame","0.06%","∞%"
"517","Imminence","Submachine Gun","Lightweight Frame","0.06%","∞%"
"518","Love and Death","Grenade Launcher","Compressed Wave Frame","0.06%","∞%"
"519","Ill Omen","Sword","Caster Frame","0.06%","∞%"
"520","Yesterday's Question","Hand Cannon","Heavy Burst","0.06%","∞%"
"521","Live Fire","Scout Rifle","Precision Frame","0.06%","∞%"
"522","Abyssal Edge","Sword","Wave Sword Frame","0.06%","∞%"
"523","The Palindrome (Adept)","Hand Cannon","Adaptive Frame","0.06%","∞%"
"524","Brigand's Law","Sidearm","Rapid-Fire Frame","0.06%","∞%"
"525","Chroma Rush","Auto Rifle","Rapid-Fire Frame","0.06%","∞%"
"526","Igneous Hammer (Adept)","Hand Cannon","Aggressive Frame","0.06%","∞%"
"527","Circular Logic","Machine Gun","Adaptive Frame","0.06%","∞%"
"528","Shayura's Wrath","Submachine Gun","Precision Frame","0.06%","∞%"
"529","Vouchsafe","Scout Rifle","Lightweight Frame","0.06%","∞%"
"530","Disparity","Pulse Rifle","Aggressive Burst","0.06%","∞%"
"531","The Riposte","Auto Rifle","Lightweight Frame","0.06%","∞%"
"532","Explosive Personality","Grenade Launcher","Wave Frame","0.06%","∞%"
"533","The Helmsman","Sniper Rifle","High-Impact Frame","0.05%","∞%"
"534","Unending Tempest","Submachine Gun","Precision Frame","0.05%","∞%"
"535","Parabellum","Submachine Gun","Adaptive Frame","0.05%","∞%"
"536","Fang of Ir Yût","Scout Rifle","Rapid-Fire Frame","0.05%","∞%"
"537","Tigerspite","Auto Rifle","Precision Frame","0.05%","∞%"
"538","Seventh Seraph SAW","Machine Gun","High-Impact Frame","0.05%","∞%"
"539","Hezen Vengeance","Rocket Launcher","Aggressive Frame","0.05%","∞%"
"540","Zaouli's Bane (Harrowed)","Hand Cannon","Adaptive Frame","0.05%","∞%"
"541","Brya's Love","Scout Rifle","Precision Frame","0.05%","∞%"
"542","Maahes HC4","Hand Cannon","Heavy Burst","0.05%","∞%"
"543","Crux Celeritas IV","Rocket Launcher","Aggressive Frame","0.05%","∞%"
"544","The Eremite","Fusion Rifle","High-Impact Frame","0.05%","∞%"
"545","Sleepless","Rocket Launcher","High-Impact Frame","0.05%","∞%"
"546","Qullim's Terminus","Machine Gun","High-Impact Frame","0.05%","∞%"
"547","Yarovit MG4","Submachine Gun","Lightweight Frame","0.05%","∞%"
"548","Keen Thistle","Sniper Rifle","Aggressive Frame","0.05%","∞%"
"549","The Summoner (Adept)","Auto Rifle","Adaptive Frame","0.05%","∞%"
"550","Redrix's Estoc","Pulse Rifle","Legacy PR-55 Frame","0.05%","∞%"
"551","Memory Interdict","Grenade Launcher","Adaptive Frame","0.05%","∞%"
"552","Hammerhead","Machine Gun","Adaptive Frame","0.05%","∞%"
"553","Round Robin","Hand Cannon","Aggressive Frame","0.05%","∞%"
"554","Sole Survivor","Sniper Rifle","Adaptive Frame","0.05%","∞%"
"555","Subzero Salvo","Rocket Launcher","Precision Frame","0.05%","∞%"
"556","Redrix's Estoc","Pulse Rifle","Legacy PR-55 Frame","0.05%","∞%"
"557","No Survivors","Submachine Gun","Aggressive Frame","0.05%","∞%"
"558","The Recluse","Submachine Gun","Lightweight Frame","0.05%","∞%"
"559","Kept Confidence","Hand Cannon","Adaptive Frame","0.05%","∞%"
"560","Path of Least Resistance","Trace Rifle","Adaptive Frame","0.05%","∞%"
"561","IKELOS_SMG_v1.0.2","Submachine Gun","Aggressive Frame","0.05%","∞%"
"562","Cold Comfort","Rocket Launcher","Aggressive Frame","0.05%","∞%"
"563","False Idols","Sword","Vortex Frame","0.05%","∞%"
"564","Volta Bracket","Sniper Rifle","Aggressive Frame","0.05%","∞%"
"565","Veiled Threat","Auto Rifle","Rapid-Fire Frame","0.05%","∞%"
"566","Code Duello","Rocket Launcher","High-Impact Frame","0.05%","∞%"
"567","Sixth Sense","Hand Cannon","Aggressive Frame","0.05%","∞%"
"568","Thin Precipice","Sword","Vortex Frame","0.05%","∞%"
"569","Blast Furnace","Pulse Rifle","Aggressive Burst","0.05%","∞%"
"570","Main Ingredient","Fusion Rifle","Precision Frame","0.05%","∞%"
"571","Succession","Sniper Rifle","Aggressive Frame","0.05%","∞%"
"572","Throne-Cleaver","Sword","Aggressive Frame","0.05%","∞%"
"573","Nezarec's Whisper","Glaive","Adaptive Glaive","0.05%","∞%"
"574","Riiswalker","Shotgun","Lightweight Frame","0.05%","∞%"
"575","Come to Pass","Auto Rifle","High-Impact Frame","0.05%","∞%"
"576","Nessa's Oblation","Shotgun","Pinpoint Slug Frame","0.05%","∞%"
"577","Empty Vessel","Grenade Launcher","Lightweight Frame","0.05%","∞%"
"578","Unvoiced","Shotgun","Pinpoint Slug Frame","0.05%","∞%"
"579","Without Remorse","Shotgun","Lightweight Frame","0.05%","∞%"
"580","Forbearance","Grenade Launcher","Wave Frame","0.05%","∞%"
"581","Premonition","Pulse Rifle","High-Impact Frame","0.05%","∞%"
"582","Found Verdict","Shotgun","Aggressive Frame","0.05%","∞%"
"583","Cantata-57","Hand Cannon","Adaptive Frame","0.05%","∞%"
"584","Terminus Horizon","Machine Gun","High-Impact Frame","0.05%","∞%"
"585","Vulpecula","Hand Cannon","Precision Frame","0.05%","∞%"
"586","New Purpose","Pulse Rifle","High-Impact Frame","0.05%","∞%"
"587","Cynosure","Rocket Launcher","Adaptive Frame","0.05%","∞%"
"588","Nox Perennial V","Fusion Rifle","High-Impact Frame","0.05%","∞%"
"589","Marsilion-C","Grenade Launcher","Rapid-Fire Frame","0.05%","∞%"
"590","Cataphract GL3","Grenade Launcher","Adaptive Frame","0.05%","∞%"
"591","Aisha's Care","Pulse Rifle","Heavy Burst","0.05%","∞%"
"592","Watchful Eye","Machine Gun","Aggressive Frame","0.05%","∞%"
"593","Cataphract GL3 (Adept)","Grenade Launcher","Adaptive Frame","0.05%","∞%"
"594","Archon's Thunder","Machine Gun","High-Impact Frame","0.05%","∞%"
"595","Lance Ephemeral","Sniper Rifle","Rapid-Fire Frame","0.05%","∞%"
"596","Until Its Return","Shotgun","Rapid-Fire Frame","0.05%","∞%"
"597","Unforgiven","Submachine Gun","Aggressive Frame","0.05%","∞%"
"598","Appetence","Trace Rifle","Adaptive Frame","0.05%","∞%"
"599","Oversoul Edict","Pulse Rifle","Rapid-Fire Frame","0.05%","∞%"
"600","D.F.A.","Hand Cannon","Adaptive Frame","0.05%","∞%"
"601","The Beacon","Fusion Rifle","Rapid-Fire Frame","0.05%","∞%"
"602","True Prophecy","Hand Cannon","Aggressive Frame","0.05%","∞%"
"603","Battle Scar","Pulse Rifle","Lightweight Frame","0.05%","∞%"
"604","Smite of Merain","Pulse Rifle","Adaptive Frame","0.05%","∞%"
"605","Wilderflight","Grenade Launcher","Double Fire","0.05%","∞%"
"606","Falling Guillotine","Sword","Vortex Frame","0.05%","∞%"
"607","Tyranny of Heaven","Combat Bow","Lightweight Frame","0.05%","∞%"
"608","Ded Gramarye IV","Shotgun","Lightweight Frame","0.05%","∞%"
"609","Wendigo GL3 (Adept)","Grenade Launcher","Adaptive Frame","0.05%","∞%"
"610","Night Terror","Sword","Caster Frame","0.05%","∞%"
"611","Bygones","Pulse Rifle","Adaptive Frame","0.05%","∞%"
"612","Tomorrow's Answer","Rocket Launcher","High-Impact Frame","0.05%","∞%"
"613","Wilderflight","Grenade Launcher","Double Fire","0.05%","∞%"
"614","VS Gravitic Arrest","Fusion Rifle","Adaptive Frame","0.05%","∞%"
"615","Better Devils","Hand Cannon","Adaptive Frame","0.05%","∞%"
"616","Legato-11","Shotgun","Pinpoint Slug Frame","0.05%","∞%"
"617","Loud Lullaby","Hand Cannon","Aggressive Frame","0.05%","∞%"
"618","Igneous Hammer","Hand Cannon","Aggressive Frame","0.05%","∞%"
"619","Temptation's Hook","Sword","Caster Frame","0.05%","∞%"
"620","1000 Yard Stare","Sniper Rifle","Adaptive Frame","0.05%","∞%"
"621","Forbearance","Grenade Launcher","Wave Frame","0.05%","∞%"
"622","Chroma Rush","Auto Rifle","Rapid-Fire Frame","0.05%","∞%"
"623","Naeem's Lance","Sniper Rifle","Rapid-Fire Frame","0.05%","∞%"
"624","Targeted Redaction","Hand Cannon","Aggressive Frame","0.05%","∞%"
"625","Sweet Sorrow","Auto Rifle","Rapid-Fire Frame","0.05%","∞%"
"626","Terciopelo-4bl","Sword","Lightweight Frame","0.05%","∞%"
"627","Abide the Return","Sword","Adaptive Frame","0.05%","∞%"
"628","Locus Locutus","Sniper Rifle","Adaptive Frame","0.05%","∞%"
"629","Last Foray","Sniper Rifle","Aggressive Frame","0.05%","∞%"
"630","Boondoggle Mk. 55","Submachine Gun","Aggressive Frame","0.05%","∞%"
"631","Axial Lacuna","Fusion Rifle","Precision Frame","0.05%","∞%"
"632","Midnight Coup","Hand Cannon","Adaptive Frame","0.05%","∞%"
"633","PLUG ONE.1 (Adept)","Fusion Rifle","Precision Frame","0.05%","∞%"
"634","Elsie's Rifle","Pulse Rifle","High-Impact Frame","0.05%","∞%"
"635","Threaded Needle","Linear Fusion Rifle","Precision Frame","0.05%","∞%"
"636","No Feelings","Scout Rifle","Precision Frame","0.05%","∞%"
"637","Cold Comfort","Rocket Launcher","Aggressive Frame","0.05%","∞%"
"638","Every Waking Moment","Submachine Gun","Precision Frame","0.05%","∞%"
"639","Psi Hermetic V","Pulse Rifle","High-Impact Frame","0.05%","∞%"
"640","Wicked Sister","Grenade Launcher","Adaptive Frame","0.05%","∞%"
"641","Cruel Mercy (Adept)","Pulse Rifle","Heavy Burst","0.05%","∞%"
"642","Rufus's Fury (Adept)","Auto Rifle","Rapid-Fire Frame","0.05%","∞%"
"643","IKELOS_SR_v1.0.3","Sniper Rifle","Rapid-Fire Frame","0.05%","∞%"
"644","Luna's Howl","Hand Cannon","Precision Frame","0.05%","∞%"
"645","Truthteller","Grenade Launcher","Lightweight Frame","0.05%","∞%"
"646","Corrasion","Pulse Rifle","Heavy Burst","0.05%","∞%"
"647","Prosecutor","Auto Rifle","Precision Frame","0.05%","∞%"
"648","Admetus-D","Scout Rifle","High-Impact Frame","0.05%","∞%"
"649","Mechabre","Sniper Rifle","Aggressive Frame","0.05%","∞%"
"650","Service Revolver","Hand Cannon","Precision Frame","0.05%","∞%"
"651","Vantage Point","Pulse Rifle","Adaptive Frame","0.05%","∞%"
"652","Royal Entry","Rocket Launcher","Precision Frame","0.05%","∞%"
"653","Frozen Orbit","Sniper Rifle","Aggressive Frame","0.05%","∞%"
"654","Lotus-Eater","Sidearm","Micro-Missile Frame","0.05%","∞%"
"655","Trust","Hand Cannon","Precision Frame","0.05%","∞%"
"656","Exile's Curse","Fusion Rifle","High-Impact Frame","0.05%","∞%"
"657","Shayura's Wrath","Submachine Gun","Precision Frame","0.05%","∞%"
"658","BrayTech Werewolf","Auto Rifle","Precision Frame","0.05%","∞%"
"659","Transfiguration","Scout Rifle","High-Impact Frame","0.05%","∞%"
"660","Rake Angle (Adept)","Glaive","Aggressive Glaive","0.05%","∞%"
"661","Lotus-Eater","Sidearm","Micro-Missile Frame","0.05%","∞%"
"662","Exuviae","Hand Cannon","Aggressive Frame","0.04%","∞%"
"663","Bottom Dollar","Hand Cannon","Aggressive Frame","0.04%","∞%"
"664","Waking Vigil","Hand Cannon","Lightweight Frame","0.04%","∞%"
"665","Positive Outlook","Auto Rifle","Precision Frame","0.04%","∞%"
"666","True Prophecy","Hand Cannon","Aggressive Frame","0.04%","∞%"
"667","Veleda-F","Sniper Rifle","Aggressive Frame","0.04%","∞%"
"668","Fire and Forget","Linear Fusion Rifle","Adaptive Burst","0.04%","∞%"
"669","Vision of Confluence","Scout Rifle","Precision Frame","0.04%","∞%"
"670","Different Times","Pulse Rifle","Rapid-Fire Frame","0.04%","∞%"
"671","Prophet of Doom","Shotgun","Precision Frame","0.04%","∞%"
"672","Prosecutor","Auto Rifle","Precision Frame","0.04%","∞%"
"673","Arsenic Bite-4b","Combat Bow","Lightweight Frame","0.04%","∞%"
"674","Lingering Dread","Grenade Launcher","Lightweight Frame","0.04%","∞%"
"675","Snorri FR5","Fusion Rifle","Precision Frame","0.04%","∞%"
"676","Gunburn","Submachine Gun","Lightweight Frame","0.04%","∞%"
"677","Deafening Whisper","Grenade Launcher","Wave Frame","0.04%","∞%"
"678","Sailspy Pitchglass","Linear Fusion Rifle","Precision Frame","0.04%","∞%"
"679","Lingering Dread","Grenade Launcher","Lightweight Frame","0.04%","∞%"
"680","Zealot's Reward","Fusion Rifle","Rapid-Fire Frame","0.04%","∞%"
"681","Retold Tale","Shotgun","Precision Frame","0.04%","∞%"
"682","Snipehunt Mk. 47","Auto Rifle","Lightweight Frame","0.04%","∞%"
"683","Nature Reclaimed","Scout Rifle","Lightweight Frame","0.04%","∞%"
"684","Tinasha's Mastery","Sidearm","Micro-Missile Frame","0.04%","∞%"
"685","Salvager's Salvo","Grenade Launcher","Lightweight Frame","0.04%","∞%"
"686","Loaded Question (Adept)","Fusion Rifle","High-Impact Frame","0.04%","∞%"
"687","Nox Sidereal IV","Fusion Rifle","Aggressive Frame","0.04%","∞%"
"688","Mirror Imago","Submachine Gun","Adaptive Frame","0.04%","∞%"
"689","Blowout","Rocket Launcher","Adaptive Frame","0.04%","∞%"
"690","Noxious Vetiver","Submachine Gun","Precision Frame","0.04%","∞%"
"691","Eyes Unveiled","Linear Fusion Rifle","Precision Frame","0.04%","∞%"
"692","Adamantite (Adept)","Auto Rifle","Support Frame","0.04%","∞%"
"693","The Immortal","Submachine Gun","Aggressive Frame","0.04%","∞%"
"694","Combined Action","Hand Cannon","Aggressive Frame","0.04%","∞%"
"695","Psychopomp","Grenade Launcher","Area Denial Frame","0.04%","∞%"
"696","Elsie's Rifle","Pulse Rifle","High-Impact Frame","0.04%","∞%"
"697","Extraordinary Rendition","Submachine Gun","Aggressive Frame","0.04%","∞%"
"698","Under Your Skin","Combat Bow","Precision Frame","0.04%","∞%"
"699","Supercluster","Shotgun","Pinpoint Slug Frame","0.04%","∞%"
"700","Tranquility","Sniper Rifle","Adaptive Frame","0.04%","∞%"
"701","Mykel's Reverence","Sidearm","Rapid-Fire Frame","0.04%","∞%"
"702","Strident Whistle","Combat Bow","Precision Frame","0.04%","∞%"
"703","Positive Outlook","Auto Rifle","Precision Frame","0.04%","∞%"
"704","Empirical Evidence","Sidearm","Heavy Burst","0.04%","∞%"
"705","Seventh Seraph Carbine","Auto Rifle","Precision Frame","0.04%","∞%"
"706","Royal Executioner","Fusion Rifle","Adaptive Frame","0.04%","∞%"
"707","Planck's Stride","Machine Gun","Rapid-Fire Frame","0.04%","∞%"
"708","Shattered Cipher","Machine Gun","Rapid-Fire Frame","0.04%","∞%"
"709","The Slammer","Sword","Vortex Frame","0.04%","∞%"
"710","The Deicide","Shotgun","Rapid-Fire Frame","0.04%","∞%"
"711","Firefright","Auto Rifle","Precision Frame","0.04%","∞%"
"712","Dragoncult Sickle","Sword","Caster Frame","0.04%","∞%"
"713","Glissando-47","Scout Rifle","Precision Frame","0.04%","∞%"
"714","New Pacific Epitaph","Grenade Launcher","Wave Frame","0.04%","∞%"
"715","Midha's Reckoning","Fusion Rifle","High-Impact Frame","0.04%","∞%"
"716","Anonymous Autumn","Sidearm","Lightweight Frame","0.04%","∞%"
"717","Tears of Contrition","Scout Rifle","Precision Frame","0.04%","∞%"
"718","Hullabaloo","Grenade Launcher","Compressed Wave Frame","0.04%","∞%"
"719","Lubrae's Ruin","Glaive","Adaptive Glaive","0.04%","∞%"
"720","Eleatic Principle","Machine Gun","Rapid-Fire Frame","0.04%","∞%"
"721","Bonechiller","Shotgun","Pinpoint Slug Frame","0.04%","∞%"
"722","The Summoner","Auto Rifle","Adaptive Frame","0.04%","∞%"
"723","Dream Breaker","Fusion Rifle","Adaptive Frame","0.04%","∞%"
"724","Corrective Measure (Timelost)","Machine Gun","Aggressive Frame","0.04%","∞%"
"725","The Messenger","Pulse Rifle","High-Impact Frame","0.04%","∞%"
"726","Hero of Ages","Sword","Vortex Frame","0.04%","∞%"
"727","Chattering Bone","Pulse Rifle","Lightweight Frame","0.04%","∞%"
